TAIUTC       28     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
72 JAN  1    2441317.500000000000    10.000000
72 JUL  1    2441499.500000000000    11.000000
73 JAN  1    2441683.500000000000    12.000000
74 JAN  1    2442048.500000000000    13.000000
75 JAN  1    2442413.500000000000    14.000000
76 JAN  1    2442778.500000000000    15.000000
77 JAN  1    2443144.500000000000    16.000000
78 JAN  1    2443509.500000000000    17.000000
79 JAN  1    2443874.500000000000    18.000000
80 JAN  1    2444239.500000000000    19.000000
81 JUL  1    2444786.500000000000    20.000000
82 JUL  1    2445151.500000000000    21.000000
83 JUL  1    2445516.500000000000    22.000000
85 JUL  1    2446247.500000000000    23.000000
88 JAN  1    2447161.500000000000    24.000000
90 JAN  1    2447892.500000000000    25.000000
91 JAN  1    2448257.500000000000    26.000000
92 JUL  1    2448804.500000000000    27.000000
93 JUL  1    2449169.500000000000    28.000000
94 JUL  1    2449534.500000000000    29.000000
96 JAN  1    2450083.500000000000    30.000000
97 JUL  1    2450630.500000000000    31.000000
99 JAN  1    2451179.500000000000    32.000000
06 JAN  1    2453736.500000000000    33.000000
09 JAN  1    2454832.500000000000    34.000000
12 JUL  1    2456109.500000000000    35.000000
15 JUL  1    2457204.500000000000    36.000000
17 JAN  1    2457754.500000000000    37.000000
UT1UTC/XY  17701     UNIT(DAY, SEC)   FORMAT(I2,I2,I2,4X,F20.12,3X,F10.6,1X,2F9.5)
730102    2441684.500000000000      .807500    .14300   .13700
730103    2441685.500000000000      .804400    .14100   .13400
730104    2441686.500000000000      .801200    .13900   .13100
730105    2441687.500000000000      .798100    .13700   .12800
730106    2441688.500000000000      .794900    .13600   .12600
730107    2441689.500000000000      .791800    .13400   .12300
730108    2441690.500000000000      .788700    .13200   .12200
730109    2441691.500000000000      .785500    .13000   .12000
730110    2441692.500000000000      .782400    .12800   .11900
730111    2441693.500000000000      .779200    .12600   .11700
730112    2441694.500000000000      .776100    .12400   .11600
730113    2441695.500000000000      .773000    .12200   .11400
730114    2441696.500000000000      .769800    .12000   .11300
730115    2441697.500000000000      .766700    .11800   .11100
730116    2441698.500000000000      .763500    .11600   .11000
730117    2441699.500000000000      .760400    .11400   .10800
730118    2441700.500000000000      .757300    .11200   .10600
730119    2441701.500000000000      .754100    .11000   .10500
730120    2441702.500000000000      .751000    .10700   .10300
730121    2441703.500000000000      .747800    .10500   .10200
730122    2441704.500000000000      .744700    .10300   .10000
730123    2441705.500000000000      .741500    .10100   .09800
730124    2441706.500000000000      .738300    .09900   .09700
730125    2441707.500000000000      .735200    .09600   .09500
730126    2441708.500000000000      .732000    .09400   .09400
730127    2441709.500000000000      .728800    .09200   .09200
730128    2441710.500000000000      .725600    .09000   .09100
730129    2441711.500000000000      .722400    .08800   .08900
730130    2441712.500000000000      .719300    .08600   .08800
730131    2441713.500000000000      .716100    .08400   .08700
730201    2441714.500000000000      .712900    .08200   .08600
730202    2441715.500000000000      .709600    .07900   .08400
730203    2441716.500000000000      .706300    .07700   .08300
730204    2441717.500000000000      .703100    .07500   .08200
730205    2441718.500000000000      .699800    .07300   .08000
730206    2441719.500000000000      .696500    .07100   .07900
730207    2441720.500000000000      .693200    .06900   .08000
730208    2441721.500000000000      .689900    .06700   .08100
730209    2441722.500000000000      .686600    .06600   .08200
730210    2441723.500000000000      .683300    .06400   .08300
730211    2441724.500000000000      .680000    .06200   .08500
730212    2441725.500000000000      .676700    .06000   .08600
730213    2441726.500000000000      .673400    .05800   .08700
730214    2441727.500000000000      .670100    .05700   .08800
730215    2441728.500000000000      .666800    .05500   .08900
730216    2441729.500000000000      .663500    .05300   .09000
730217    2441730.500000000000      .660100    .05100   .09100
730218    2441731.500000000000      .656800    .04900   .09200
730219    2441732.500000000000      .653400    .04700   .09300
730220    2441733.500000000000      .650100    .04500   .09400
730221    2441734.500000000000      .646700    .04400   .09500
730222    2441735.500000000000      .643300    .04200   .09600
730223    2441736.500000000000      .640000    .04000   .09700
730224    2441737.500000000000      .636600    .03800   .09800
730225    2441738.500000000000      .633300    .03600   .09900
730226    2441739.500000000000      .629900    .03400   .10000
730227    2441740.500000000000      .626500    .03200   .10100
730228    2441741.500000000000      .623200    .03000   .10200
730301    2441742.500000000000      .619800    .02800   .10200
730302    2441743.500000000000      .616500    .02600   .10300
730303    2441744.500000000000      .613100    .02400   .10400
730304    2441745.500000000000      .609700    .02200   .10500
730305    2441746.500000000000      .606300    .02000   .10600
730306    2441747.500000000000      .603000    .01800   .10600
730307    2441748.500000000000      .599600    .01600   .10700
730308    2441749.500000000000      .596200    .01400   .10800
730309    2441750.500000000000      .592800    .01200   .10900
730310    2441751.500000000000      .589300    .00900   .10900
730311    2441752.500000000000      .585900    .00700   .11000
730312    2441753.500000000000      .582400    .00400   .11100
730313    2441754.500000000000      .579000    .00200   .11200
